"AIRPORT","AIRPORT_ID","LATITUDE","LONGITUDE","Closest_Station"
"A22",10035,53.97277778,-166.8569444,"USA00704897"
"A23",10036,59.77611111,-151.9636111,"USW00025507"
"A24",10037,59.33166667,-135.8966667,"USW00025323"
"A25",10038,59.28833333,-136.1738889,"USW00025323"
"A26",10039,68.48333333,-155.7333333,"USW00026564"
"A27",10040,64.44,-144.9363889,"USW00026415"
"A28",10041,57.25388889,-154.4222222,"USI0000PAKH"
"A29",10042,57.32305556,-153.1494444,"USL000KDAA2"
"A2K",10770,58.23305556,-157.3663889,"USW00025519"
"A2L",16810,34.47361111,-85.72138889,"USW00063847"
"A30",10043,57.96388889,-153.0583333,"USW00025501"
"A31",10044,58.98277778,-153.1833333,"USL000AUGA2"
"A34",10047,58.36194444,-152.3122222,"USL000AMAA2"
"A35",11828,70.17277778,-146.8361111,"USW00027404"
"A36",10049,55.56027778,-131.6555556,"USW00025325"
"A37",10050,61.89888889,-161.4388889,"USW00026654"
"A38",10051,64.09722222,-143.2666667,"USW00026440"
"A39",10052,61.86611111,-141.1597222,"CAN02100155"
"A3K",16696,70.76583333,-154.2308333,"USW00027510"
"A40",10053,71.05694444,-154.7283333,"USW00027510"
"A41",10054,70.575416665,-152.265,"USW00027512"
"A42",10055,70.35833333,-153.1966667,"USW00027512"
"A43",10056,57.78083333,-152.3911111,"USW00025501"
"A45",10058,57.81666667,-134.5833333,"USP504689-2"
"A46",10059,57.7,-134.2666667,"USP504689-2"
"A47",10060,57.61666667,-134.3666667,"USP504689-2"
"A48",10061,57.15,-153.15,"USI0000PAKH"
"A49",10062,70.28444444,-152.2119444,"USW00027515"
"A4K",16698,64.42138889,-149.8944444,"USI0000PACL"
"A50",10063,58.5625,-152.5961111,"USL000AMAA2"
"A51",10064,64.35277778,-151.275,"USW00026512"
"A52",10065,59.96388889,-152.6822222,"USL000DRFA2"
"A53",10066,64.33333333,-147.5,"USA00722811"
"A54",10067,53.68333333,-166.75,"USL000UNLA2"
"A56",10069,56.03666667,-160.2661111,"USW00025625"
"A57",10070,58.26666667,-157.5333333,"USW00025519"
"A58",10071,64.5,-151.6666667,"USW00026524"
"A59",10072,68.48777778,-155.7575,"USW00026564"
"A5K",16802,63.02444444,-145.5005556,"USW00056401"
"A5K",16803,63.02444444,-145.5005556,"USW00056401"
"A61",10074,54.582916665,-164.9134722,"USA00704895"
"A62",10075,60.86777778,-157.3919444,"USW00026553"
"A63",10076,65.311444446,-143.13494448,"USA00702674"
"A65",10078,57.53833333,-154.1644444,"USI0000PAKH"
"A66",10079,60.905666668,-149.62344446,"USW00026437"
"A67",10080,57.84944444,-153.1152778,"USL000KDAA2"
"A69",10082,55.74,-162.1252778,"USI0000PAVC"
"A6K",16720,65.04472222,-145.4230556,"USM00070197"
"A70",10083,57.77416667,-153.5447222,"USL000KDAA2"
"A71",10084,59.73833333,-151.03,"USL000HMSA2"
"A72",10085,59.83333333,-152.5847222,"USW00025507"
"A73",10086,63.7325,-148.9105556,"USW00046403"
"A74",10087,59.24111111,-151.8772222,"USL000FILA2"
"A75",10088,58.17194444,-152.8941667,"USW00025501"
"A76",10089,58.46444444,-152.5930556,"USL000AMAA2"
"A77",10090,57.34333333,-152.8972222,"USL000KDAA2"
"A78",10091,71.03,-154.4436111,"USW00027510"
"A79",10092,71.50166667,-154.0338889,"USA00700264"
"A7K",16723,62.03611111,-151.4522222,"USW00026514"
"A80",10093,70.57388889,-155.3213889,"USW00027510"
"A81",10094,70.66277778,-154.8366667,"USW00027510"
"A82",10095,60.69027778,-151.2888889,"USL000NKTA2"
"A83",10096,59.37638889,-150.765,"USL000HMRA2"
"A84",10097,63.75555556,-147.93,"USA00702646"
"A85",10098,61.85944444,-154.2766667,"USW00026554"
"A87",10100,58.58305556,-152.4458333,"USL000AMAA2"
"A89",10102,59.925,-147.5166667,"USW00026417"
"A8K",15934,60.96166667,-151.3316667,"USL000NKTA2"
"A90",10103,59.03916667,-158.4638889,"USW00025513"
"A91",10104,69.15555556,-163.4972222,"USW00026637"
"A92",10105,69.14805556,-163.5102778,"USW00026637"
"A93",10106,59.79166667,-151.2666667,"USW00025507"
"A94",10107,70.57416667,-155.3180556,"USW00027510"
"A95",10108,70.31194444,-153.2491667,"USW00027512"
"A96",10109,70.98083333,-157.095,"USW00027502"
"A97",10110,68.98555556,-163.4797222,"USW00026637"
"A98",10111,69.17083333,-163.2563889,"USW00026637"
"A99",10112,68.67666667,-162.6469444,"USW00026637"
"A9K",16985,63.73833333,-148.8816667,"USW00046403"
"AA1",10113,59.95277778,-162.6169444,"USI0000PAQH"
"AA2",16662,58.70944444,-157.0713889,"USI0000PFWS"
"AA4",10116,59.63333333,-151.2083333,"USL000HMSA2"
"AA5",10117,66.95583333,-155.615,"USW00026513"
"AA7",16472,65.67361111,-162.4641667,"USW00026619"
"AA8",11381,70.1375,-147.0305556,"USW00027404"
"AA9",16804,61.53638889,-158.7388889,"USP500332-1"
"AAF",10122,29.7275,-85.0275,"USW00012832"
"ABE",10135,40.6526851833333,-75.4400462983333,"USW00014737"
"ABI",10136,32.4106481466667,-99.68111111,"USW00013962"
"ABL",10139,67.0875,-157.8458333,"USW00026551"
"ABQ",10140,35.040000002,-106.60827778,"USW00023050"
"ABR",10141,45.4482870383333,-98.422175925,"USW00014929"
"ABY",10146,31.53388889,-84.195277775,"USW00013869"
"ACB",10149,44.986666665,-85.19875,"USW00004863"
"ACK",10154,41.2537037066667,-70.06013889,"USW00014756"
