"AIRPORT","AIRPORT_ID","LATITUDE","LONGITUDE","Station_1","Station_2","Station_3","Distance_1","Distance_2","Distance_3"
"ACY",10158,39.456944445,-74.57777778,"USW00013753","USW00093730","USL000JCRN4","0.906129019844005","1.08943054764151","13.867213026282"
"ADK",10165,51.8806944466667,-176.644629628333,"USW00025701","USW00025704","USL000ADKA2","0.468847133476551","0.468847133476551","1.55652029846687"
"AEX",10185,31.325833335,-92.547777775,"USW00013934","USW00093915","USW00013935","1.03728609817514","1.42430461397731","26.3547812649473"
"AKN",10245,58.677083335,-156.65013889,"USU070326-1","USW00025503","USI0000PFWS","0.787671842757615","1.22615503571592","20.3773182363612"
"BGR",10581,44.80763889,-68.82791667,"USW00014601","USW00014606","USC00176435","1.22662804910096","1.31803654807744","14.8142729233407"
"BIS",10627,46.775833335,-100.749166665,"USW00094071","USW00024011","USW00000296","1.01756163972181","1.03507946991937","11.0560642779118"
"BJI",10631,47.5098611075,-94.934166665,"USW00014958","USC00216795","USI0000KY49","1.09843591363563","41.5450807171451","43.7552410630875"
"DAB",11252,29.1816666666667,-81.05453704,"USW00012846","USW00012834","USW00092822","1.19467912979015","1.90948320732363","13.8813637822199"
"DCA",11278,38.851666666,-77.037611112,"USW00013751","USW00013743","USL000WASD2","0.416795798423596","0.569217339288378","2.54576962599821"
"DHN",11308,31.320555555,-85.448888885,"USW00013839","USC00012377","USW00093843","0.612974917297541","6.22387061377623","9.8148296075264"
"EGE",11503,39.642944446,-106.92211111,"USW00023063","USW00003098","USW00000424","0.911125820696284","24.0465199226235","45.9075934109795"
"ESC",11587,45.72166667,-87.09013889,"USC00202627","USA00726483","USW00094853","0.492486753432798","0.924843981679669","1.39825485018557"
"FCA",11648,48.31166667,-114.25361111,"USW00024146","USC00248087","USW00004130","1.14133017314348","53.6852134460898","77.0133408576753"
"GFK",11898,47.94958333,-97.17625,"USW00014917","USW00014916","USC00323621","0.527098208259342","0.910619761729894","6.63552367730588"
"HNL",12173,21.318111112,-157.921166668,"USI0000PHIK","USW00022521","USW00022517","0.609816626273604","1.995368854499","4.63594598694781"
"ISN",12389,48.177083335,-103.639166665,"USW00094014","USW00024014","USW00094099","0.398433526374371","3.44178332772952","11.7051168958679"
"JHM",12492,20.964583335,-156.67513889,"USW00022552","USC00510530","USC00518407","0.232259523993152","3.92852723937238","4.01589179070022"
"MQT",13459,46.35138889,-87.395833335,"USW00014851","USW00094836","USC00203516","0.355135846405184","0.355135846405184","8.39023233735991"
"MSP",13487,44.884027775,-93.219722225,"USW00014947","USW00014922","USW00014961","0.251485565581316","0.93084356131591","12.7194034533432"
"ORD",13930,41.9783333325,-87.907222225,"USW00014810","USW00094846","USW00014855","0.813256545695485","2.84888174372921","13.1722208330383"
"OTZ",13970,66.885388888,-162.599833334,"USA00701334","USW00026616","USW00000113","0.265731847200743","0.300660070457394","69.3773940335523"
"PDX",14057,45.58888889,-122.59597222,"USW00004202","USW00024229","USW00094298","1.27462550559042","1.28449010986573","5.77464137301191"
"PGV",14092,35.635000002,-77.384833336,"USW00013783","USC00313638","USW00003741","0.234383558757359","1.34619500314934","31.1416849652146"
"PIH",14113,42.911527775,-112.595138885,"USW00024108","USW00024156","USC00109158","0.698200115327852","2.07731396978484","52.2375372570672"
"PSE",14254,18.00898148,-66.5629629633333,"RQI0000TJPS","RQC00667292","RQI0000KX69","0.0758782639737396","4.40937258429611","7.37584096490869"
"ROW",14588,33.300666668,-104.529888888,"USC00297614","USW00023009","USW00023043","0.779845412036901","2.15128831625592","11.0499058822197"
"SBA",14689,34.426944445,-119.840416665,"USW00053153","USW00023190","USW00093124","0.0945057338598889","0.360056850082799","1.12781514934709"
"SGU",14794,37.047722224,-113.526666668,"USW00093198","USW00023186","USC00427516","0.920061219228268","8.72461891752535","10.6464092274226"
"SLN",14877,38.790694445,-97.6522685166667,"USW00013922","USW00003919","USC00147546","1.05324183138044","1.37086212413258","19.2894963148254"
"XWA",16869,48.260277775,-103.750833335,"USW00094099","USW00094014","USW00024014","0.741866231740585","12.7968122140496","15.7852489391645"
"YUM",16218,32.65666667,-114.60597222,"USW00023195","USW00003145","USP029662-1","1.24789705613989","1.24828976126973","8.25927962260083"
