Feature,Coefficient
DayOfWeek_1,0.08848261914111465
DayOfWeek_2,-0.01513979851640233
DayOfWeek_3,-0.03931333756261284
DayOfWeek_4,0.019701367560076233
DayOfWeek_5,0.0014856543000862157
DayOfWeek_6,-0.01970072181176031
DayOfWeek_7,-0.029756626329194725
Operating_Airline _9E,-0.10024883976278112
Operating_Airline _9K,-9.802574567975675e-05
Operating_Airline _AA,-0.13956659890401668
Operating_Airline _AS,0.08452140400931961
Operating_Airline _AX,0.004933283959831284
Operating_Airline _B6,0.0028606903459782542
Operating_Airline _C5,0.024045093571800246
Operating_Airline _CP,-0.00779164177801547
Operating_Airline _DL,-0.35148551427395885
Operating_Airline _EM,0.0058653398957048564
Operating_Airline _EV,0.004935471060853099
Operating_Airline _F9,0.013524864598100423
Operating_Airline _G4,0.03775998333001353
Operating_Airline _G7,-0.013643348119793812
Operating_Airline _HA,0.012721109922154243
Operating_Airline _KS,0.0006904918913802164
Operating_Airline _MQ,-0.04968840907732842
Operating_Airline _NK,0.017686224779101888
Operating_Airline _OH,0.03546444763294723
Operating_Airline _OO,-0.05038188145905101
Operating_Airline _PT,0.0087036844089364
Operating_Airline _QX,0.009127615097344855
Operating_Airline _UA,-0.005332863364231702
Operating_Airline _VX,-4.670296899490392e-05
Operating_Airline _WN,0.4588190937647194
Operating_Airline _YV,0.05397478033334252
Operating_Airline _YX,-0.0407777532201511
Operating_Airline _ZW,-0.010812843146401593
Origin_ABE,-0.0008506107706940486
Origin_ABI,-0.0002165063276717144
Origin_ABQ,0.0007729704032981623
Origin_ABR,-0.0006712985270053957
Origin_ABY,-0.0003671521933436636
Origin_ACK,1.396183932710981e-05
Origin_ACT,-6.335696339253034e-05
Origin_ACV,0.0018458748570142408
Origin_ACY,0.0013855008243186474
Origin_ADK,0.00023087198334683962
Origin_ADQ,0.00041332903358891457
Origin_AEX,0.0005483749635493728
Origin_AGS,-0.0005555616814658066
Origin_AKN,0.00025450963178787824
Origin_ALB,-0.001388955513953795
Origin_ALO,-0.00015530576075341285
Origin_ALS,0.00044791679126681636
Origin_ALW,0.0019234918945701001
Origin_AMA,0.0027401258605338997
Origin_ANC,-0.019136881685762695
Origin_APN,0.00025928684858720215
Origin_ART,0.0014633457403386322
Origin_ASE,0.02222973763584136
Origin_ATL,-0.09303471962599336
Origin_ATW,-0.004038492824135898
Origin_ATY,0.00022227242807085099
Origin_AUS,0.027170202185663003
Origin_AVL,0.000996435164009347
Origin_AVP,-0.0002818979693013113
Origin_AZA,0.0036883664955943626
Origin_AZO,-0.0011369187262449628
Origin_BDL,0.0002699762707980427
Origin_BET,-0.0014942556114977013
Origin_BFF,0.0004063460062508967
Origin_BFL,0.0007562246711512069
Origin_BFM,-1.1183466523527057e-05
Origin_BGM,-0.00040311553414780997
Origin_BGR,0.0017500040400786065
Origin_BHM,0.0009820879489070243
Origin_BIH,0.00031307660393087495
Origin_BIL,-0.0029228801965776106
Origin_BIS,-0.0012940176115803948
Origin_BJI,-0.0006296822326019177
Origin_BKG,5.497744802544379e-05
Origin_BLI,0.0013346266442383955
Origin_BLV,0.00025745199920630235
Origin_BMI,-0.0009832362939635707
Origin_BNA,0.02184939339935121
Origin_BOI,-0.007338468757783362
Origin_BOS,-0.014608424360068081
Origin_BPT,0.0005008812745304412
Origin_BQK,-0.0001478922695294716
Origin_BQN,0.0010385604882905
Origin_BRD,-0.0004372283868232334
Origin_BRO,0.0007337634935374767
Origin_BRW,-0.0014734882126071136
Origin_BTM,-0.00045765707808829704
Origin_BTR,0.0001348698440915327
Origin_BTV,-0.0016634635952602762
Origin_BUF,0.008557999958468489
Origin_BUR,0.01951141231835907
Origin_BWI,0.010841551132134428
Origin_BZN,-0.0014975245456114576
Origin_CAE,-0.0001942349914107383
Origin_CAK,-0.0012914141283375611
Origin_CDB,0.00013177231353998884
Origin_CDC,-0.0003839599753351218
Origin_CDV,0.0006925772069940343
Origin_CGI,0.0004541459107513169
Origin_CHA,-0.0005481172003995178
Origin_CHO,0.001899398051846307
Origin_CHS,0.011034221074020679
Origin_CID,-0.00443918040387455
Origin_CIU,-0.0011120709191012503
Origin_CKB,0.00021041037690756789
Origin_CLE,-0.010122443398101352
Origin_CLL,0.00038635966001150467
Origin_CLT,-0.013860841391433986
Origin_CMH,-0.009522230970503094
Origin_CMI,-0.00021960158197186698
Origin_CMX,0.0009753927385887321
Origin_CNY,0.00044800828523453517
Origin_COD,0.000555420023024171
Origin_COS,0.00024257295653040424
Origin_COU,0.0009674581674796833
Origin_CPR,-0.0007205640219748465
Origin_CRP,0.0010272945436664628
Origin_CRW,0.0006911348669486668
Origin_CSG,0.0004967877412373677
Origin_CVG,-0.015384455915945791
Origin_CWA,-0.0019059812784584058
Origin_CYS,0.0006788816275393879
Origin_DAB,0.0005412974107837965
Origin_DAL,0.02266209362915249
Origin_DAY,-0.006368499924129389
Origin_DBQ,5.492655902029841e-05
Origin_DCA,0.019785366381186546
Origin_DDC,0.0005279647869450008
Origin_DEC,0.0007127941159405006
Origin_DEN,0.055432003721144124
Origin_DFW,-0.03012123888898919
Origin_DHN,-0.00040101901913607946
Origin_DIK,0.0007267968126670332
Origin_DLG,0.0005365142217636385
Origin_DLH,-0.0023435360315595547
Origin_DRO,0.001088266570546598
Origin_DRT,9.514030580608601e-05
Origin_DSM,-0.006064443199864061
Origin_DTW,-0.1007122239120161
Origin_DUT,0.000413600174159617
Origin_DVL,0.0003192653351779488
Origin_EAR,0.0003603250311238884
Origin_EAT,0.0014596144800687254
Origin_EAU,0.00022660692539064008
Origin_ECP,0.00020468904098824953
Origin_EGE,0.0024005689821920864
Origin_EKO,3.194917033704678e-05
Origin_ELM,-0.0004675995826998165
Origin_ELP,0.004268564059473061
Origin_ERI,-0.0001718456904225872
Origin_ESC,0.0004746289854090757
Origin_EUG,0.0036826876133573953
Origin_EVV,-0.0005467679728087868
Origin_EWN,0.0009971215995081904
Origin_EWR,0.029732681720002884
Origin_EYW,0.003041860564695289
Origin_FAI,-0.005733816009380592
Origin_FAR,-0.004820133890192793
Origin_FAT,0.0013502442951105356
Origin_FAY,0.00017899250004373832
Origin_FCA,-0.0008176500339473865
Origin_FLG,0.001729720284179107
Origin_FLL,0.013930437867514715
Origin_FLO,0.0003210437768288093
Origin_FNT,-0.0012051993098891422
Origin_FOD,0.0003113396554787494
Origin_FSD,0.004754368743570475
Origin_FSM,0.00014408072020508097
Origin_FWA,-0.002660860463509435
Origin_GCC,0.0002497801907385849
Origin_GCK,8.779219640103174e-06
Origin_GEG,-0.00874507550379942
Origin_GFK,-0.001109995727010014
Origin_GGG,0.00021646479889327841
Origin_GJT,-0.00046390401117329114
Origin_GNV,0.00014666029805066177
Origin_GPT,0.0006294326095432946
Origin_GRB,-0.003960502210926181
Origin_GRI,-0.00016255609430110857
Origin_GRK,0.0009335065106301576
Origin_GRR,-0.005281506290341548
Origin_GSO,-0.0009666607587937875
Origin_GSP,0.0008121556309814292
Origin_GTF,-0.0020621075416313614
Origin_GTR,-0.00011212802289671475
Origin_GUC,0.0009922666315224512
Origin_GUM,-9.507945864751495e-05
Origin_HDN,0.00028149920941605107
Origin_HGR,8.350718193690684e-05
Origin_HHH,0.0007868241529130716
Origin_HIB,-0.0003483039504716996
Origin_HLN,-0.0007119698711212591
Origin_HNL,0.012370282529693185
Origin_HOB,0.0002652971957216003
Origin_HOU,0.012076094601653334
Origin_HPN,0.0010138286162213134
Origin_HRL,0.001354757685736019
Origin_HSV,0.00031775878570025574
Origin_HTS,0.00029235089525660196
Origin_HVN,0.00029351826203503087
Origin_HYS,0.0005299138836528229
Origin_IAD,-0.0030931998806684553
Origin_IAG,0.0005476606685852432
Origin_IAH,0.022299882468300863
Origin_ICT,-0.0035352500730842966
Origin_IDA,-0.0008694322347522102
