Feature,Coefficient
Origin_GEG,-0.9803097977855673
Origin_GFK,-0.8779747987098148
Origin_GGG,0.4605666631534819
Origin_GJT,-0.3954308464567976
Origin_GNV,0.4622297569533339
Origin_GPT,0.49491880149974676
Origin_GRB,-1.0779721571185745
Origin_GRI,-0.48423774271635717
Origin_GRK,0.534874217310703
Origin_GRR,-0.6287255143676489
Origin_GSO,-0.07879237148184103
Origin_GSP,0.13821119690140815
Origin_GTF,-1.180823628761502
Origin_GTR,-0.011525837705651335
Origin_GUC,0.09307478554400836
Origin_GUM,0.21722331898866237
Origin_HDN,-0.4749481237472164
Origin_HGR,0.009016756647998142
Origin_HHH,1.3463806501952573
Origin_HIB,-0.8960271625537382
Origin_HLN,-0.8306538356220441
Origin_HNL,1.0765354836096797
Origin_HOB,0.15559265216000034
Origin_HOU,0.32665843996573185
Origin_HPN,-0.07414168310058138
Origin_HRL,0.47276305108481426
Origin_HSV,0.0765294780244867
Origin_HTS,0.12220138447024846
Origin_HVN,0.6476771159078861
Origin_HYS,0.043480665069405684
Origin_IAD,-0.3263039920476125
Origin_IAG,0.004165731127198585
Origin_IAH,0.5062937994934974
Origin_ICT,-0.6517610598397042
Origin_IDA,-0.6071755885658312
Origin_IFP,-0.04128103833013639
Origin_ILG,0.0824462834051217
Origin_ILM,0.42650507789342607
Origin_IMT,-0.3275065894494766
Origin_IND,-0.7470914970121472
Origin_INL,-0.17041424367697885
Origin_IPT,1.1040036009456253
Origin_ISN,-0.8878800802182611
Origin_ISP,-0.17366763738255414
Origin_ITH,-0.3908844976358711
Origin_ITO,0.36790620665354423
Origin_JAC,-0.8577214410449705
Origin_JAN,0.2973998023384884
Origin_JAX,0.6429140296604253
Origin_JFK,0.010498033670868278
Origin_JHM,3.003972092390858
Origin_JLN,0.38487594724322405
Origin_JMS,-0.04058592656615976
Origin_JNU,-0.7467271516075747
Origin_JST,0.20987949333272732
Origin_KOA,0.8399621550240551
Origin_KTN,-0.5080897719090914
Origin_LAN,-0.8803649778641315
Origin_LAR,0.143099956871203
Origin_LAS,0.15557722409910038
Origin_LAW,1.0603579202891324
Origin_LAX,0.4599569346468933
Origin_LBB,0.025749149746941976
Origin_LBE,-0.2258538957522561
Origin_LBF,0.2915858366782363
Origin_LBL,0.2251313063791833
Origin_LCH,0.8294046685538445
Origin_LCK,-0.8514650845319481
Origin_LEX,-0.43710043488785444
Origin_LFT,0.5462643359650805
Origin_LGA,0.2511713734645828
Origin_LGB,0.7804237138873775
Origin_LIH,1.3057071028248035
Origin_LIT,-0.13453368091766038
